cand_id,path_std_hz,path_mean_hz,path_range_hz,freq_hz,snr_best,best_fit,snr_poly,snr_kepler,peak_loglike,multiplicity,nt_values,known_match,best_ar,track_path
cand_244,0.001338,317.196362,0.004446,317.196922328592,7.85623168945312,kepler,4.38390779495239,7.85623168945312,nan,,,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_244/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_244/cand_244_track.dat
cand_280,0.001338,550.999185,0.003334,550.9981104812715,7.12331581115723,kepler,6.01116180419922,7.12331581115723,52.7386255630725,2,16,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_280/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_280/cand_280_track.dat
cand_285,0.001338,746.626913,0.003334,746.627876704629,9.2636547088623,poly,9.2636547088623,9.16834926605225,nan,,,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_285/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_285/cand_285_track.dat
cand_288,0.001338,530.99963,0.004446,530.998221629432,13.4939594268799,poly,13.4939594268799,8.8295726776123,50.11955215901158,1,16,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_288/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_288/cand_288_track.dat
cand_341,0.001338,317.196362,0.004446,317.196922328594,7.76819229125977,kepler,4.41094493865967,7.76819229125977,nan,,,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_341/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_341/cand_341_track.dat
cand_222,0.001374,427.998481,0.004446,427.999110814716,4.87550497055054,kepler,3.08229732513428,4.87550497055054,53.38537735179444,2,16,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_222/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_222/cand_222_track.dat
cand_352,0.001374,300.000037,0.005557,299.9946571682992,6.80589532852173,kepler,5.06036520004272,6.80589532852173,334.60946622351344,9,"16,32,64,128",,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_352/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_352/cand_352_track.dat
cand_230,0.001386,437.582453,0.005557,437.583429838126,9.46020889282227,kepler,4.03171634674072,9.46020889282227,nan,,,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_230/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_230/cand_230_track.dat
cand_260,0.001398,112.500426,0.005557,112.49783261087029,8.2006311416626,poly,8.2006311416626,3.70596289634705,50.427727508562484,1,16,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_260/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_260/cand_260_track.dat
cand_312,0.001406,681.115594,0.004446,681.115685216431,12.3225574493408,kepler,6.83962726593018,12.3225574493408,nan,,,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_312/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_312/cand_312_track.dat
